,0,1
318,0826320899,"(209.41, 195.28, 195.28, 203.17, 26.0)"
319,0971732752,"(244.07, 236.37, 236.37, 143.61, 26.0)"
320,1515122123,"(250.9, 247.11, 247.11, 197.67, 26.0)"
321,0316216690,"(62.66, 74.98, 74.98, 73.64, 26.0)"
322,0373698968,"(197.3, 205.99, 205.99, 171.35, 26.0)"
323,1413439047,"(121.61, 81.93, 81.93, 109.8, 28.0)"
324,0449016420,"(251.18, 250.76, 250.76, 217.06, 28.0)"
325,1607811588,"(230.22, 224.95, 224.95, 147.45, 28.0)"
326,0061336211,"(229.18, 194.28, 194.28, 161.76, 28.0)"
327,0500281491,"(39.8, 44.92, 44.92, 96.83, 28.0)"
328,1440232954,"(86.29, 79.87, 79.87, 91.48, 28.0)"
329,0544451740,"(176.8, 187.07, 187.07, 175.78, 29.0)"
330,0929591666,"(227.5, 224.82, 224.82, 134.76, 29.0)"
331,B00NNX4E44,"(72.65, 98.31, 98.31, 82.57, 29.0)"
332,0550104720,"(245.54, 245.8, 245.8, 164.51, 29.0)"
333,158503889X,"(252.77, 251.87, 251.87, 178.05, 30.0)"
334,0415375274,"(3.53, 27.97, 27.97, 107.54, 30.0)"
335,1502804077,"(42.64, 45.0, 45.0, 110.24, 30.0)"
336,1250040779,"(241.96, 237.24, 237.24, 186.39, 30.0)"
337,1861081235,"(30.8, 27.99, 27.99, 73.48, 30.0)"
338,042526999X,"(28.26, 60.8, 60.8, 47.03, 30.0)"
339,0521761077,"(8.62, 5.42, 5.42, 79.84, 30.0)"
340,0898389925,"(90.95, 45.01, 45.01, 113.52, 30.0)"
341,1608877124,"(117.05, 158.77, 158.77, 98.72, 30.0)"
342,0073384925,"(181.19, 195.14, 195.14, 167.95, 30.0)"
343,0738735051,"(57.66, 47.74, 47.74, 115.55, 31.0)"
344,0151015155,"(130.48, 85.09, 85.09, 154.5, 31.0)"
345,1845204891,"(236.26, 233.08, 233.08, 140.71, 31.0)"
346,1580089534,"(183.91, 123.69, 123.69, 146.88, 32.0)"
347,111871136X,"(85.18, 87.37, 87.37, 93.78, 32.0)"
348,1452836817,"(207.64, 169.85, 169.85, 136.77, 32.0)"
349,1608959651,"(11.15, 9.21, 9.21, 69.1, 32.0)"
350,0739869159,"(78.25, 111.92, 111.92, 144.68, 32.0)"
351,1492359823,"(144.22, 109.73, 109.73, 91.73, 32.0)"
352,0789320916,"(213.1, 223.94, 223.94, 135.78, 32.0)"
353,0226039331,"(105.27, 147.86, 147.86, 135.46, 34.0)"
354,1617291021,"(83.93, 69.54, 69.54, 162.12, 34.0)"
355,1607870177,"(188.06, 208.86, 208.86, 193.93, 34.0)"
356,0500239282,"(68.7, 144.35, 144.35, 86.35, 34.0)"
357,1495997545,"(231.73, 222.16, 222.16, 218.66, 36.0)"
358,8364596675,"(4.73, 66.47, 66.47, 62.35, 36.0)"
359,0380789035,"(20.27, 40.6, 40.6, 81.09, 36.0)"
360,0871319063,"(248.76, 181.15, 181.15, 186.62, 36.0)"
361,0743277708,"(118.12, 78.01, 78.01, 134.49, 36.0)"
362,0781742692,"(231.24, 222.97, 222.97, 143.27, 38.0)"
363,1479116092,"(212.88, 236.59, 236.59, 179.12, 38.0)"
364,0198722842,"(108.79, 182.06, 182.06, 124.86, 38.0)"
365,0600565238,"(17.72, 43.47, 43.47, 110.01, 38.0)"
366,039302900X,"(59.75, 113.43, 113.43, 75.49, 38.0)"
367,0596007302,"(253.62, 253.28, 253.28, 188.41, 38.0)"
368,0465018092,"(252.98, 253.22, 253.22, 214.39, 38.0)"
369,1780281226,"(253.46, 252.98, 252.98, 238.56, 38.0)"
370,0374119163,"(144.83, 84.99, 84.99, 149.99, 38.0)"
371,1850892725,"(139.73, 209.98, 209.98, 98.2, 40.0)"
372,0195384776,"(39.99, 31.67, 31.67, 70.84, 40.0)"
373,0750670223,"(244.14, 228.9, 228.9, 179.2, 40.0)"
374,044655622X,"(36.96, 7.96, 7.96, 88.2, 40.0)"
375,1844162680,"(58.37, 55.23, 55.23, 97.37, 40.0)"
376,0060935472,"(15.33, 13.92, 13.92, 62.25, 40.0)"
377,1570628084,"(222.96, 151.09, 151.09, 176.04, 40.0)"
378,1416532021,"(5.47, 3.2, 3.2, 57.9, 40.0)"
379,1601424965,"(60.78, 28.33, 28.33, 112.24, 40.0)"
380,1512086266,"(250.88, 247.71, 247.71, 216.06, 42.0)"
381,1841486213,"(117.14, 107.65, 107.65, 148.0, 42.0)"
382,0750247045,"(163.3, 175.73, 175.73, 113.98, 42.0)"
383,0738580775,"(205.47, 125.07, 125.07, 145.28, 42.0)"
384,1476765588,"(80.52, 87.28, 87.28, 128.68, 42.0)"
385,1634502019,"(196.8, 115.84, 115.84, 122.82, 44.0)"
386,1609300556,"(181.95, 120.38, 120.38, 146.98, 44.0)"
387,080414043X,"(253.44, 225.14, 225.14, 212.42, 44.0)"
388,1579003575,"(44.13, 18.6, 18.6, 118.57, 44.0)"
389,0982671407,"(249.52, 229.11, 229.11, 201.95, 44.0)"
390,0979757614,"(87.23, 163.68, 163.68, 116.62, 44.0)"
391,0030065178,"(66.33, 79.45, 79.45, 126.04, 44.0)"
392,0313277680,"(54.59, 60.55, 60.55, 63.57, 44.0)"
393,1597751154,"(157.62, 235.21, 235.21, 200.15, 44.0)"
394,0151003084,"(109.77, 22.85, 22.85, 95.17, 44.0)"
395,1889786373,"(220.49, 231.94, 231.94, 150.05, 44.0)"
396,1401245021,"(48.32, 49.31, 49.31, 117.3, 44.0)"
